iter	Passed	Remaining
0	0	78
1	1	70
2	1	63
3	2	59
4	3	58
5	3	57
6	5	68
7	6	73
8	6	70
9	7	69
10	8	66
11	8	64
12	9	62
13	10	61
14	10	60
15	11	58
16	11	57
17	12	56
18	12	54
19	13	53
20	13	52
21	14	51
22	15	50
23	15	50
24	16	49
25	16	48
26	17	48
27	18	48
28	20	49
29	20	48
30	21	47
31	22	46
32	22	46
33	23	45
34	23	44
35	24	43
36	24	42
37	25	41
38	26	40
39	26	39
40	27	39
41	27	37
42	27	37
43	28	36
44	29	35
45	29	34
46	30	34
47	31	33
48	32	33
49	32	32
50	33	32
51	34	31
52	34	30
53	35	29
54	35	28
55	35	28
56	36	27
57	37	26
58	37	26
59	38	25
60	38	24
61	39	24
62	39	23
63	40	22
64	40	22
65	41	21
66	42	20
67	44	20
68	45	20
69	45	19
70	46	18
71	47	18
72	47	17
73	48	16
74	48	16
75	49	15
76	49	14
77	50	14
78	50	13
79	51	12
80	51	12
81	52	11
82	53	10
83	53	10
84	54	9
85	54	8
86	55	8
87	56	7
88	57	7
89	58	6
90	58	5
91	59	5
92	59	4
93	60	3
94	60	3
95	61	2
96	61	1
97	62	1
98	62	0
99	63	0
