iter	Passed	Remaining
0	145	145590
1	146	72993
2	146	48784
3	147	36714
4	148	29477
5	148	24624
6	149	21156
7	149	18555
8	150	16531
9	150	14911
10	151	13587
11	151	12484
12	152	11553
13	152	10757
14	153	10063
15	153	9454
16	154	8917
17	154	8440
18	155	8012
19	155	7627
20	156	7280
21	156	6964
22	157	6675
23	157	6410
24	158	6166
25	158	5940
26	159	5731
27	159	5537
28	160	5357
29	160	5190
30	161	5038
31	161	4893
32	162	4755
33	162	4625
34	163	4501
35	163	4385
36	164	4275
37	164	4171
38	165	4073
39	165	3980
40	166	3891
41	166	3807
42	167	3727
43	168	3650
44	168	3576
45	169	3506
46	169	3438
47	170	3373
48	170	3311
49	171	3251
50	171	3194
51	172	3138
52	172	3084
53	173	3033
54	173	2983
55	174	2936
56	174	2890
57	175	2845
58	175	2803
59	176	2761
60	176	2721
61	177	2682
62	177	2645
63	178	2608
64	178	2572
65	179	2538
66	179	2504
67	180	2472
68	180	2440
69	181	2410
70	181	2380
71	182	2351
72	182	2323
73	183	2295
74	183	2268
75	184	2242
76	184	2217
77	185	2192
78	186	2168
79	186	2145
80	187	2122
81	187	2099
82	187	2075
83	188	2054
84	188	2034
85	189	2013
86	190	1994
87	190	1975
88	191	1957
89	191	1939
90	192	1920
91	192	1902
92	193	1884
93	193	1869
94	194	1852
95	195	1836
96	195	1819
97	196	1804
98	196	1788
99	197	1773
100	197	1758
101	198	1743
102	198	1728
103	198	1714
104	199	1700
105	199	1686
106	200	1672
107	200	1659
108	201	1645
109	201	1633
110	202	1620
111	202	1607
112	203	1595
113	203	1583
114	204	1571
115	204	1560
116	205	1548
117	205	1538
118	206	1527
119	206	1516
120	207	1505
121	207	1494
122	208	1483
123	208	1473
124	209	1463
125	209	1453
126	209	1443
127	210	1433
128	210	1424
129	211	1414
130	211	1405
131	212	1396
132	212	1387
133	213	1378
134	213	1369
135	214	1361
136	214	1352
137	215	1344
138	215	1336
139	216	1328
140	216	1320
141	217	1311
142	217	1303
143	218	1295
144	218	1288
145	218	1280
146	219	1273
147	219	1265
148	220	1259
149	220	1252
150	221	1245
151	221	1238
152	222	1231
153	222	1224
154	223	1218
155	223	1211
156	224	1205
157	224	1198
158	225	1192
159	225	1186
160	226	1178
161	226	1172
162	227	1166
163	227	1160
164	228	1154
165	228	1148
166	229	1142
167	229	1136
168	230	1131
169	230	1125
170	230	1119
171	231	1114
172	232	1109
173	232	1103
174	232	1098
175	233	1092
176	233	1087
177	234	1082
178	234	1077
179	235	1072
180	235	1066
181	236	1062
182	236	1057
183	237	1052
184	237	1047
185	238	1042
186	238	1038
187	239	1033
188	239	1029
189	240	1024
190	240	1020
191	241	1015
192	241	1011
193	242	1006
194	242	1002
195	243	998
196	243	994
197	244	989
198	244	985
199	245	981
200	245	977
201	246	973
202	246	969
203	247	965
204	248	961
205	248	958
206	249	954
207	249	950
208	250	946
209	250	943
210	251	940
211	251	936
212	252	932
213	252	928
214	253	925
215	253	921
216	254	917
217	254	914
218	255	910
219	255	906
220	256	903
221	256	899
222	257	895
223	257	892
224	258	889
225	258	885
226	259	882
227	259	878
228	260	875
229	260	872
230	260	868
231	261	865
232	261	862
233	262	859
234	262	855
235	263	852
236	263	849
237	264	846
238	264	843
239	265	840
240	265	837
241	266	834
242	266	831
243	267	828
244	267	825
245	268	822
246	268	819
247	269	816
248	269	813
249	270	810
250	270	807
251	271	804
252	271	801
253	271	798
254	272	795
255	272	793
256	273	790
257	273	787
258	274	784
259	274	782
260	275	779
261	275	776
262	276	774
263	276	771
264	277	768
265	277	766
266	278	763
267	278	760
268	279	758
269	279	755
270	280	753
271	296	793
272	296	790
273	297	788
274	298	785
275	298	783
276	299	780
277	299	778
278	300	775
279	300	773
280	301	770
281	301	768
282	302	765
283	302	763
284	303	760
285	303	758
286	304	756
287	304	753
288	305	751
289	305	749
290	306	746
291	307	744
292	307	742
293	308	739
294	308	737
295	309	735
296	309	733
297	310	731
298	310	728
299	311	726
300	311	724
301	312	722
302	312	719
303	313	717
304	313	715
305	314	713
306	314	710
307	315	708
308	315	706
309	316	704
310	316	701
311	317	699
312	317	697
313	318	695
314	318	693
315	319	690
316	319	688
317	320	686
318	320	684
319	321	682
320	321	680
321	322	678
322	322	675
323	323	673
324	323	671
325	324	670
326	324	668
327	325	666
328	325	663
329	326	661
330	326	659
331	327	658
332	327	656
333	328	654
334	328	652
335	328	650
336	329	648
337	329	646
338	330	644
339	330	642
340	331	640
341	331	638
342	332	636
343	332	634
344	333	632
345	333	630
346	334	628
347	334	626
348	335	625
349	335	623
350	336	621
351	336	619
352	336	617
353	337	615
354	337	614
355	338	612
356	338	610
357	339	608
358	339	606
359	340	605
360	340	603
361	341	601
362	341	600
363	342	598
364	342	596
365	343	594
366	343	593
367	344	591
368	344	589
369	345	588
370	345	586
371	346	584
372	346	583
373	347	581
374	347	579
375	348	578
376	348	576
377	349	574
378	349	573
379	350	571
380	350	569
381	351	568
382	351	566
383	352	565
384	352	563
385	353	562
386	353	560
387	354	558
388	354	557
389	355	555
390	355	554
391	356	552
392	356	551
393	357	549
394	357	548
395	358	546
396	358	545
397	359	543
398	359	542
399	360	540
400	360	539
401	361	537
402	362	536
403	362	534
404	363	533
405	363	532
406	364	530
407	364	529
408	365	527
409	365	526
410	366	524
411	366	523
412	367	522
413	367	520
414	368	519
415	368	517
416	369	516
417	369	515
418	370	513
419	371	512
420	371	511
421	372	510
422	373	508
423	373	507
424	373	505
425	374	504
426	374	503
427	375	501
428	375	500
429	376	498
430	376	497
431	377	496
432	377	494
433	378	493
434	378	491
435	379	490
436	379	489
437	380	487
438	380	486
439	381	485
440	381	483
441	382	482
442	382	481
443	383	479
444	383	478
445	384	477
446	384	475
447	384	474
448	385	472
449	385	471
450	386	470
451	387	469
452	387	468
453	388	466
454	388	465
455	389	464
456	389	462
457	390	461
458	390	460
459	391	459
460	391	457
461	392	456
462	392	455
463	392	453
464	393	452
465	393	451
466	394	450
467	394	448
468	395	447
469	396	446
470	396	445
471	397	444
472	397	442
473	398	441
474	398	440
475	398	439
476	399	437
477	399	436
478	400	435
479	400	434
